Date,Description,Amount,Running Bal.
06/28/2024,"Transfer #SBR Etsy via Plaid from #SBR Etsy","0.01","3,232.39"
06/28/2024,"MAX DOLLAR 06/26 PURCHASE EDISON NJ","-5.84","3,226.55"
07/01/2024,"WAWA 8315 06/28 PURCHASE OLD BRIDGE NJ","-20.00","3,206.55"
07/01/2024,"BLAZE PIZZA CLARK 1068 06/28 PURCHASE CLARK NJ","-35.04","3,171.51"
07/01/2024,"FIVE BELOW 324 06/28 PURCHASE CLARK NJ","-5.60","3,165.91"
07/01/2024,"Etsy.com*US 06/30 PURCHASE BROOKLYN NY","-15.00","3,150.91"
07/01/2024,"UBER TRIP DES:UBER TRIP ID:ST-F2G3X2O3B8I2 INDN:LINK CO ID:XXXXX65600 WEB","-6.43","3,144.48"
07/05/2024,"BANK OF AMERICA DES:PAYMENT ID:XXXXXXXXXX16870 INDN:PATEL SPARSH CO ID:XXXXX87655 PPD","200.00","3,344.48"
07/05/2024,"WAL-MART #4153 07/04 PURCHASE OLD BRIDGE NJ","-8.51","3,335.97"
07/08/2024,"ROSALITAS ROADSIDE CANT 07/06 PURCHASE ENGLISHTOWN NJ","-40.00","3,295.97"
07/09/2024,"LTIMINDTREE LIMI DES:PAYROLL ID:XXXXXXXXXX6973X INDN:PATEL, SPARSH V CO ID:XXXXX19100 PPD","1,469.36","4,765.33"
07/10/2024,"SNACK* JOYCE CREAMERY 07/09 PURCHASE XXX-XX682146 CA","-14.30","4,751.03"
07/11/2024,"CHICK-FIL-A #04148 07/09 PURCHASE EDISON NJ","-18.89","4,732.14"
07/15/2024,"UMAMI BOWLS 07/12 PURCHASE EDISON NJ","-23.64","4,708.50"
07/17/2024,"RUTGERS CINEMA 07/15 PURCHASE PISCATAWAY NJ","-21.00","4,687.50"
07/18/2024,"RUTGERS CINEMA 07/16 PURCHASE PISCATAWAY NJ","-5.25","4,682.25"
07/22/2024,"BLAZE PIZZA - 1285 - BR 07/19 PURCHASE BOUND BROOK NJ","-29.09","4,653.16"
07/22/2024,"CC* CRUMBL BRIDGEWATER 07/19 PURCHASE XXX-XX101313 UT","-10.27","4,642.89"
07/22/2024,"N THAI PALACE 07/20 PURCHASE EAST BRUNSWIC NJ","-52.24","4,590.65"
07/22/2024,"PLAYA BOWLS OLDBRIDGE N 07/20 PURCHASE VERONA NJ","-14.39","4,576.26"
07/23/2024,"LTIMINDTREE LIMI DES:PAYROLL ID:XXXXXXXXXX6333X INDN:PATEL, SPARSH V CO ID:XXXXX19100 PPD","1,322.42","5,898.68"
07/23/2024,"INSOMNIA COOKIES- NEW 07/21 PURCHASE NEW BRUNSWICK NJ","-4.96","5,893.72"
07/24/2024,"STOP & SHOP 0859 07/23 PURCHASE EDISON NJ","-6.39","5,887.33"
07/25/2024,"RUTGERS CINEMA 07/23 PURCHASE PISCATAWAY NJ","-5.75","5,881.58"
07/29/2024,"WAL-MART #5201 07/29 PURCHASE EDISON NJ","-2.75","5,878.83"
07/30/2024,"COSTCO WHSE #0323 07/29 PURCHASE EDISON NJ","-140.77","5,738.06"
07/31/2024,"STOP & SHOP 0859 07/30 PURCHASE EDISON NJ","-25.00","5,713.06"
08/01/2024,"WAL-MART #5201 08/01 PURCHASE EDISON NJ","-20.18","5,692.88"
08/01/2024,"WAL-MART #5201 08/01 PURCHASE EDISON NJ","-7.42","5,685.46"
08/05/2024,"CHIPOTLE 0867 08/02 PURCHASE BRIDGEWATER NJ","-10.77","5,674.69"
08/05/2024,"ACME 2827 08/03 PURCHASE OLD BRIDGE NJ","-35.74","5,638.95"
08/06/2024,"LTIMINDTREE LIMI DES:PAYROLL ID:XXXXXXXXXX5492X INDN:PATEL, SPARSH V CO ID:XXXXX19100 PPD","1,322.42","6,961.37"
08/06/2024,"MARSHALLS #230 08/05 PURCHASE SO PLAINFIELD NJ","-17.98","6,943.39"
08/07/2024,"Etsy.com - SponkEditing 08/06 PURCHASE XXX-XX93879 NY","-0.40","6,942.99"
08/07/2024,"NNT KAPADOKYA 08/07 PURCHASE NEW BRUNSWICK NJ","-28.80","6,914.19"
08/08/2024,"MARSHALLS #230 08/06 REFUND SO PLAINFIELD NJ","17.98","6,932.17"
08/08/2024,"CHIPOTLE 1256 08/07 PURCHASE NEW BRUNSWICK NJ","-10.24","6,921.93"
08/08/2024,"NBPA - PARKMOBILE. 08/07 PURCHASE NEW BRUNSWICK NJ","-1.68","6,920.25"
08/09/2024,"TST*NIRVANIS INDIAN KIT 08/07 PURCHASE New Brunswick NJ","-18.13","6,902.12"
08/12/2024,"WAL-MART #5201 08/10 PURCHASE EDISON NJ","-5.20","6,896.92"
08/13/2024,"CHIPOTLE 1772 08/12 PURCHASE SOUTH PLAINFI NJ","-10.50","6,886.42"
08/19/2024,"PLAYA BOWLS WARREN 08/16 PURCHASE WARREN NJ","-16.55","6,869.87"
08/19/2024,"PLAYA BOWLS NEW BRUNS 08/16 PURCHASE NEW BRUNSWICK NJ","-25.59","6,844.28"
08/19/2024,"WAL Wal-Mart S 08/19 PURCHASE EDISON NJ","-31.97","6,812.31"
08/20/2024,"LTIMINDTREE LIMI DES:PAYROLL ID:XXXXXXXXXX4960X INDN:PATEL, SPARSH V CO ID:XXXXX19100 PPD","1,469.36","8,281.67"
08/20/2024,"7-ELEVEN 39020 08/18 PURCHASE EDISON NJ","-7.88","8,273.79"
08/20/2024,"CHIPOTLE 2475 08/19 PURCHASE BASKING RIDGE NJ","-10.40","8,263.39"
08/21/2024,"CHIPOTLE 2475 08/20 PURCHASE BASKING RIDGE NJ","-10.40","8,252.99"
08/22/2024,"INMAN BARBER SHOP 08/21 PURCHASE EDISON NJ","-28.00","8,224.99"
08/23/2024,"CHIPOTLE 2475 08/22 PURCHASE BASKING RIDGE NJ","-10.40","8,214.59"
08/23/2024,"OLO*110 honeygrow Rut 08/22 PURCHASE New Brunswick NJ","-11.04","8,203.55"
08/26/2024,"TST* TACORIA- NEW BRUNS 08/22 PURCHASE NEW BRUNSWICK NJ","-11.68","8,191.87"
08/26/2024,"ULTA #1523 08/23 PURCHASE SOUTH PLAINFI NJ","-127.95","8,063.92"
08/27/2024,"NBPA - PARKMOBILE. 08/26 PURCHASE NEW BRUNSWICK NJ","-2.35","8,061.57"
08/27/2024,"CVS/PHARMACY # 08/27 PURCHASE SOUTH PLAINFI NJ","-7.24","8,054.33"
08/28/2024,"LUKOIL 57335 08/27 PURCHASE S PLAINFIELD NJ","-20.00","8,034.33"
08/30/2024,"CHIPOTLE 2475 08/29 PURCHASE BASKING RIDGE NJ","-10.40","8,023.93"
09/03/2024,"LTIMINDTREE LIMI DES:PAYROLL ID:XXXXXXXXXX0935X INDN:PATEL, SPARSH V CO ID:XXXXX19100 PPD","1,469.36","9,493.29"
09/03/2024,"CHIPOTLE 2475 08/30 PURCHASE BASKING RIDGE NJ","-10.40","9,482.89"
09/03/2024,"EXXON EDISON MART 08/30 PURCHASE EDISON NJ","-10.00","9,472.89"
09/03/2024,"TARGET T-1929 09/01 PURCHASE South Plainfi NJ","-20.26","9,452.63"
09/03/2024,"Etsy.com - SponkEditing 09/02 PURCHASE XXX-XX93879 NY","-0.80","9,451.83"
09/03/2024,"SNACK* AKIHI BUBBLE TE 09/01 PURCHASE XXX-XX682146 CA","-14.48","9,437.35"
09/04/2024,"SQ *POSTER INVASION 09/03 PURCHASE Greenville SC","-26.91","9,410.44"
09/05/2024,"CAFE WEST 09/03 PURCHASE NEW BRUNSWICK NJ","-1.39","9,409.05"
09/05/2024,"SNACK* AKIHI BUBBLE TE 09/04 PURCHASE XXX-XX682146 CA","-15.98","9,393.07"
09/06/2024,"SNACK* AKIHI BUBBLE TE 09/05 PURCHASE XXX-XX682146 CA","-7.80","9,385.27"
09/09/2024,"FOREVER21 1991 09/06 PURCHASE EDISON NJ","-14.99","9,370.28"
09/10/2024,"CANTEEN VENDING 09/09 PURCHASE AVENEL NJ","-3.00","9,367.28"
09/12/2024,"Transfer VENMO","113.97","9,481.25"
09/12/2024,"CG LAUNDRY RUTGERS COLL 09/10 PURCHASE XXX-XX46100 NJ","-10.00","9,471.25"
09/12/2024,"R U HUNGRY 09/10 PURCHASE NEW BRUNSWICK NJ","-8.38","9,462.87"
09/12/2024,"SNACK* AKIHI BUBBLE TE 09/11 PURCHASE XXX-XX682146 CA","-15.98","9,446.89"
09/13/2024,"Transfer VENMO","16.71","9,463.60"
09/13/2024,"WAL Wal-Mart S 09/13 PURCHASE EDISON NJ","-33.99","9,429.61"
09/16/2024,"AMAZON MARK* PT1L53V33 09/11 PURCHASE HTTPSAMAZON.C WA","-12.77","9,416.84"
09/16/2024,"DOLLAR BRUNSWICK LLC 09/13 PURCHASE NEW BRUNSWICK NJ","-2.14","9,414.70"
09/16/2024,"CANTEEN VENDING 09/13 PURCHASE AVENEL NJ","-3.10","9,411.60"
09/16/2024,"GOLDEN RAIL PUB 09/13 PURCHASE NEW BRUNSWICK NJ","-11.98","9,399.62"
09/16/2024,"POPEYES 12202 09/13 PURCHASE NEW BRUNSWICK NJ","-3.19","9,396.43"
09/16/2024,"OLDE QUEENS TAVERN 09/13 PURCHASE XXX-XX64006 NJ","-14.20","9,382.23"
09/16/2024,"HUEY'S KNIGHT CLUB 09/13 PURCHASE NEW BRUNSWICK NJ","-8.78","9,373.45"
09/16/2024,"Zelle payment to Tisha Conf# hr1rghwxf","-25.00","9,348.45"
09/17/2024,"LTIMINDTREE LIMI DES:PAYROLL ID:XXXXXXXXXX0402X INDN:PATEL, SPARSH V CO ID:XXXXX19100 PPD","293.87","9,642.32"
09/17/2024,"AMAZON RETA* WK2632933 09/13 PURCHASE WWW.AMAZON.CO WA","-19.71","9,622.61"
09/17/2024,"AMAZON MARK* JE5IE6YH3 09/13 PURCHASE HTTPSAMAZON.C WA","-25.58","9,597.03"
09/19/2024,"TST*NIRVANIS INDIAN KIT 09/17 PURCHASE New Brunswick NJ","-23.19","9,573.84"
09/19/2024,"RUTGERS CINEMA 09/18 PURCHASE PISCATAWAY NJ","-42.00","9,531.84"
09/23/2024,"Transfer VENMO","45.11","9,576.95"
09/23/2024,"Transfer VENMO","9.75","9,586.70"
09/23/2024,"ULTA #1523 09/20 PURCHASE SOUTH PLAINFI NJ","-162.07","9,424.63"
09/23/2024,"TST*NIRVANIS INDIAN KIT 09/20 PURCHASE New Brunswick NJ","-16.32","9,408.31"
09/23/2024,"TST*SCHNUR MEYER SWEETS 09/20 PURCHASE New Brunswick NJ","-15.75","9,392.56"
09/23/2024,"BYSIMRAN 0921 09/20 PURCHASE HTTPSBYSIMRAN PA","-59.99","9,332.57"
09/27/2024,"SNACK* AKIHI BUBBLE TE 09/26 PURCHASE XXX-XX682146 CA","-6.43","9,326.14"
09/30/2024,"Transfer VENMO","12.75","9,338.89"
09/30/2024,"SCARLET PUB 09/26 PURCHASE NEW BRUNSWICK NJ","-11.33","9,327.56"
09/30/2024,"INSOMNIA COOKIES- NEW 09/27 PURCHASE NEW BRUNSWICK NJ","-3.04","9,324.52"
09/30/2024,"TUTA ICE CREAM 09/27 PURCHASE MILLTOWN NJ","-5.53","9,318.99"
09/30/2024,"CHIPOTLE 1256 09/29 PURCHASE NEW BRUNSWICK NJ","-10.24","9,308.75"
10/01/2024,"WALGREENS #12097 09/30 PURCHASE NEW BRUNSWICK NJ","-1.54","9,307.21"
10/02/2024,"INSOMNIA COOKIES- NEW 09/30 PURCHASE NEW BRUNSWICK NJ","-16.26","9,290.95"
10/03/2024,"Transfer VENMO","9.75","9,300.70"
10/03/2024,"Homebase 10/03 PMNT RCVD San Francisco CA","0.08","9,300.78"
10/03/2024,"WALGREENS #6908 10/02 PURCHASE NEW BRUNSWICK NJ","-20.65","9,280.13"
10/04/2024,"Homebase DES:Homebase ID: INDN:Sparsh Patel CO ID:XXXXX96776 WEB","-0.08","9,280.05"
10/07/2024,"Zelle payment from SHREY DOBARIYA Conf# T0Y4CW79V","18.00","9,298.05"
10/07/2024,"CG LAUNDRY RUTGERS COLL 10/03 PURCHASE XXX-XX46100 NJ","-10.00","9,288.05"
10/07/2024,"RUTGERS CINEMA 10/03 PURCHASE PISCATAWAY NJ","-9.75","9,278.30"
10/07/2024,"SNACK* AKIHI BUBBLE TE 10/04 PURCHASE XXX-XX682146 CA","-9.24","9,269.06"
10/07/2024,"TST* TACORIA- NEW BRUNS 10/05 PURCHASE NEW BRUNSWICK NJ","-36.36","9,232.70"
10/07/2024,"INSOMNIA COOKIES- NEW 10/05 PURCHASE NEW BRUNSWICK NJ","-6.08","9,226.62"
10/07/2024,"THE ALE N WICH PUB 10/06 PURCHASE NEW BRUNSWICK NJ","-6.23","9,220.39"
10/08/2024,"CANTEEN VENDING 10/07 PURCHASE AVENEL NJ","-3.10","9,217.29"
10/09/2024,"Transfer VENMO","21.62","9,238.91"
10/09/2024,"Transfer VENMO","9.75","9,248.66"
10/09/2024,"OPENAI *CHATGPT SUBSCR 10/08 PURCHASE HTTPSOPENAI.C CA","-20.00","9,228.66"
10/10/2024,"TST*NIRVANIS INDIAN KIT 10/09 PURCHASE New Brunswick NJ","-23.46","9,205.20"
10/15/2024,"BKOFAMERICA MOBILE 10/12 XXXXX06825 DEPOSIT *MOBILE NJ","70.03","9,275.23"
10/15/2024,"OLDE QUEENS TAVERN 10/11 PURCHASE XXX-XX64006 NJ","-4.88","9,270.35"
10/15/2024,"VEO* DEPOSIT 10/14 PURCHASE WWW.VEORIDE.C CA","-10.00","9,260.35"
10/16/2024,"INSOMNIA COOKIES- NEW 10/14 PURCHASE NEW BRUNSWICK NJ","-8.00","9,252.35"
10/17/2024,"HUEY'S KNIGHT CLUB 10/15 PURCHASE NEW BRUNSWICK NJ","-5.16","9,247.19"
10/17/2024,"HUEY'S KNIGHT CLUB 10/16 PURCHASE NEW BRUNSWICK NJ","-7.78","9,239.41"
10/17/2024,"CANTEEN VENDING 10/16 PURCHASE AVENEL NJ","-3.10","9,236.31"
10/18/2024,"RUTGERS UNIVERSI DES:DIR DEP ID:00185486 INDN:PATEL,SPARSH V CO ID:XXXXX01086 PPD","12.05","9,248.36"
10/18/2024,"WALGREENS #6908 10/17 PURCHASE NEW BRUNSWICK NJ","-10.31","9,238.05"
10/21/2024,"Transfer VENMO","15.72","9,253.77"
10/21/2024,"SNACK* AKIHI BUBBLE TE 10/18 PURCHASE XXX-XX682146 CA","-16.03","9,237.74"
10/22/2024,"PARTY CITY 0579 10/20 PURCHASE SOUTH PLAINE NJ","-54.99","9,182.75"
10/22/2024,"AMAZON MKTPL*BL1NF8H83 10/20 PURCHASE Amzn.com/bill WA","-52.99","9,129.76"
10/24/2024,"AMAZON MKTPL*A011I5RB3 10/21 PURCHASE Amzn.com/bill WA","-21.31","9,108.45"
10/24/2024,"TARGET T-1929 10/24 PURCHASE South Plainfi NJ","-31.52","9,076.93"
10/25/2024,"PARTY CITY 0579 10/23 REFUND SOUTH PLAINE NJ","54.99","9,131.92"
10/28/2024,"Transfer VENMO","125.27","9,257.19"
10/28/2024,"AMAZON MKTPLACE PMTS 10/27 REFUND Amzn.com/bill WA","21.31","9,278.50"
10/28/2024,"PARTY CITY 0579 10/24 PURCHASE SOUTH PLAINE NJ","-3.19","9,275.31"
10/28/2024,"EVELYNS RESTAURANT 10/26 PURCHASE NEW BRUNSWICK NJ","-27.61","9,247.70"
10/28/2024,"GOLDEN RAIL PUB 10/26 PURCHASE NEW BRUNSWICK NJ","-5.44","9,242.26"
10/28/2024,"SQ *SPINA RECORDS 10/27 PURCHASE NEW BRUNSWICK NJ","-16.44","9,225.82"
10/28/2024,"CANTEEN VENDING 10/27 PURCHASE AVENEL NJ","-3.10","9,222.72"
10/30/2024,"Transfer VENMO","29.48","9,252.20"
10/31/2024,"AMAZON MARK* 3N75J9U23 10/29 PURCHASE HTTPSAMAZON.C WA","-34.43","9,217.77"
10/31/2024,"INSOMNIA COOKIES- NEW 10/29 PURCHASE NEW BRUNSWICK NJ","-15.19","9,202.58"
10/31/2024,"DOLLAR BRUNSWICK LLC 10/30 PURCHASE NEW BRUNSWICK NJ","-10.74","9,191.84"
11/01/2024,"RUTGERS UNIVERSI DES:DIR DEP ID:00185486 INDN:PATEL,SPARSH V CO ID:XXXXX01086 PPD","126.33","9,318.17"
11/01/2024,"CG LAUNDRY RUTGERS COLL 10/30 PURCHASE XXX-XX46100 NJ","-10.00","9,308.17"
11/01/2024,"PETER'S LIQUORS 10/31 PURCHASE NEW BRUNSWICK NJ","-20.85","9,287.32"
11/04/2024,"GOLDEN RAIL PUB 10/31 PURCHASE NEW BRUNSWICK NJ","-18.30","9,269.02"
11/04/2024,"GOLDEN RAIL PUB 11/01 PURCHASE NEW BRUNSWICK NJ","-11.98","9,257.04"
11/04/2024,"WHOLEFDS MTC #10602 11/03 PURCHASE METUCHEN NJ","-8.20","9,248.84"
11/05/2024,"RU BOOKSTORE 6600 11/04 PURCHASE NEW BRUNSWICK NJ","-31.97","9,216.87"
11/07/2024,"TST* 16 HANDLES - RUTGE 11/05 PURCHASE PISCATAWAY NJ","-10.36","9,206.51"
11/07/2024,"PETER'S LIQUORS 11/06 PURCHASE NEW BRUNSWICK NJ","-3.02","9,203.49"
11/08/2024,"PETER'S LIQUORS 11/07 PURCHASE NEW BRUNSWICK NJ","-22.59","9,180.90"
11/12/2024,"OLDE QUEENS TAVERN 11/08 PURCHASE XXX-XX64006 NJ","-22.52","9,158.38"
11/12/2024,"OLO*110 honeygrow Rut 11/12 PURCHASE New Brunswick NJ","-14.71","9,143.67"
11/14/2024,"CANTEEN VENDING 11/13 PURCHASE AVENEL NJ","-6.10","9,137.57"
11/15/2024,"RUTGERS UNIVERSI DES:DIR DEP ID:00185486 INDN:PATEL,SPARSH V CO ID:XXXXX01086 PPD","229.83","9,367.40"
11/15/2024,"BUTLER FOOD STORE 11/14 PURCHASE NEW BRUNSWICK NJ","-3.49","9,363.91"
11/18/2024,"7-ELEVEN 35664 11/15 PURCHASE NEW BRUNSWICK NJ","-6.48","9,357.43"
11/19/2024,"FOOT LOCKER - 08448 11/17 PURCHASE EDISON NJ","-198.00","9,159.43"
11/22/2024,"EASTON DELI & CONVENIEN 11/21 PURCHASE NEW BRUNSWICK NJ","-35.98","9,123.45"
11/25/2024,"Transfer VENMO","11.24","9,134.69"
11/25/2024,"Zelle payment from PRANAV KRISHNA VOOTUKURI Conf# jsbfh0riu","11.00","9,145.69"
11/25/2024,"CANTEEN VENDING 11/23 PURCHASE AVENEL NJ","-2.10","9,143.59"
11/25/2024,"TST* TACORIA- NEW BRUNS 11/23 PURCHASE NEW BRUNSWICK NJ","-47.85","9,095.74"
11/25/2024,"WALGREENS #6908 11/24 PURCHASE NEW BRUNSWICK NJ","-13.94","9,081.80"
11/26/2024,"TACO BELL 739035 11/24 PURCHASE 713-899-0718 NJ","-13.31","9,068.49"
11/26/2024,"7-ELEVEN 36047 11/24 PURCHASE PISCATAWAY NJ","-2.59","9,065.90"
11/27/2024,"RUTGERS UNIVERSI DES:PAYROLL ID:00185486 INDN:PATEL,SPARSH V CO ID:XXXXX01086 PPD","127.10","9,193.00"
11/27/2024,"HAAGEN-DAZS 545 11/26 PURCHASE EDISON NJ","-10.86","9,182.14"
11/29/2024,"CHICK-FIL-A #01428 11/26 PURCHASE EDISON NJ","-13.12","9,169.02"
11/29/2024,"SEPHORA MENLO PARK 11/26 PURCHASE EDISON NJ","-9.81","9,159.21"
12/02/2024,"7-ELEVEN 39020 11/28 PURCHASE EDISON NJ","-2.59","9,156.62"
12/02/2024,"LinkedInPre *06982404 11/30 PURCHASE XXX-XX35653 CA","-29.99","9,126.63"
12/02/2024,"MACYS WOODBRIDGE CTR 11/30 PURCHASE WOODBRIDGE NJ","-81.00","9,045.63"
12/03/2024,"ETSY, INC. DES:PAYOUT ID:etsy INDN:Sparsh Patel CO ID:XXXXX12331 PPD PMT INFO:TRN*1*etsy**4VXODC6561N68APK\RMR*IK*etsy .com\","46.21","9,091.84"
12/03/2024,"Transfer VENMO","5.75","9,097.59"
12/03/2024,"Transfer VENMO","4.75","9,102.34"
12/03/2024,"EASTON DELI & CONVENIEN 12/01 PURCHASE NEW BRUNSWICK NJ","-12.83","9,089.51"
12/03/2024,"Printify 12/02 PURCHASE Claymont DE","-30.24","9,059.27"
12/04/2024,"Zara.com 12/01 PURCHASE New York NY","-34.94","9,024.33"
12/09/2024,"CMSVEND*CV AVENEL 12/05 PURCHASE AVENEL NJ","-5.60","9,018.73"
12/09/2024,"OLDE QUEENS TAVERN 12/06 PURCHASE XXX-XX64006 NJ","-13.81","9,004.92"
12/09/2024,"SCARLET PUB 12/06 PURCHASE NEW BRUNSWICK NJ","-13.73","8,991.19"
12/09/2024,"WAL-MART #2633 12/09 PURCHASE PISCATAWAY NJ","-10.63","8,980.56"
12/10/2024,"Transfer VENMO","8.76","8,989.32"
12/10/2024,"BOX LUNCH #4759 12/09 PURCHASE EDISON NJ","-11.62","8,977.70"
12/11/2024,"CANTEEN VENDING 12/10 PURCHASE AVENEL NJ","-6.10","8,971.60"
12/12/2024,"WALGREENS #6908 12/11 PURCHASE NEW BRUNSWICK NJ","-8.24","8,963.36"
12/13/2024,"RUTGERS UNIVERSI DES:PAYROLL ID:00185486 INDN:PATEL,SPARSH V CO ID:XXXXX01086 PPD","129.39","9,092.75"
12/16/2024,"Transfer VENMO","31.44","9,124.19"
12/16/2024,"Transfer VENMO","7.25","9,131.44"
12/16/2024,"SMASHVILLE HOT CHICKEN 12/13 PURCHASE NEW BRUNSWICK NJ","-13.49","9,117.95"
12/16/2024,"CG LAUNDRY RUTGERS COLL 12/14 PURCHASE XXX-XX46100 NJ","-10.00","9,107.95"
12/16/2024,"NJT MOBILE 30010003 12/15 PURCHASE XXX-XX86463 NJ","-32.20","9,075.75"
12/16/2024,"TARGET STORE T 12/15 PURCHASE New York NY","-16.33","9,059.42"
12/16/2024,"HUDSON-DUNKIN ST211 12/15 PURCHASE NEW YORK NY","-7.00","9,052.42"
12/16/2024,"MTA*NYCT PAYGO 12/15 PURCHASE NEW YORK NY","-2.90","9,049.52"
12/17/2024,"MTA*NYCT PAYGO 12/15 PURCHASE NEW YORK NY","-2.90","9,046.62"
12/18/2024,"WALGREENS #6908 12/17 PURCHASE NEW BRUNSWICK NJ","-6.19","9,040.43"
12/19/2024,"SMASHVILLE HOT CHICKEN 12/17 PURCHASE NEW BRUNSWICK NJ","-13.49","9,026.94"
12/20/2024,"TST* 16 HANDLES - RUTGE 12/18 PURCHASE PISCATAWAY NJ","-12.01","9,014.93"
12/23/2024,"Transfer VENMO","9.25","9,024.18"
12/23/2024,"FIVE GUYS NJ 2092 QSR 12/19 PURCHASE NEW BRUNSWICK NJ","-6.93","9,017.25"
12/23/2024,"NBPA - PARKMOBILE. 12/21 PURCHASE NEW BRUNSWICK NJ","-2.35","9,014.90"
12/23/2024,"TARGET T-1929 12/21 PURCHASE South Plainfi NJ","-16.94","8,997.96"
12/24/2024,"RUTGERS UNIVERSI DES:PAYROLL ID:00185486 INDN:PATEL,SPARSH V CO ID:XXXXX01086 PPD","195.30","9,193.26"
12/26/2024,"AG TRAVEL PLAZA 3601101 12/24 PURCHASE WALLKILL NY","-13.37","9,179.89"
12/27/2024,"AMAZON MARK* ZE23P6E80 12/23 PURCHASE HTTPSAMAZON.C WA","-21.23","9,158.66"
12/30/2024,"TOPS MARKETS #700 12/27 PURCHASE CORINTH NY","-5.89","9,152.77"
12/30/2024,"NEW HAIR CULTURE INC 12/29 PURCHASE EDISON NJ","-42.32","9,110.45"
12/31/2024,"TARGET T-1929 12/31 PURCHASE South Plainfi NJ","-22.52","9,087.93"
01/02/2025,"EXXON AMRIT INC 12/31 PURCHASE NEW BRUNSWICK NJ","-20.00","9,067.93"
01/02/2025,"PROSKATENJ.COM 12/31 PURCHASE XXX-XX809679 NJ","-34.00","9,033.93"
01/02/2025,"BLAZE PIZZA - 1285 - BR 12/31 PURCHASE 732-356-1357 NJ","-34.76","8,999.17"
01/03/2025,"HUEY'S KNIGHT CLUB 12/31 PURCHASE NEW BRUNSWICK NJ","-6.20","8,992.97"
01/03/2025,"HUEY'S KNIGHT CLUB 12/31 PURCHASE NEW BRUNSWICK NJ","-6.20","8,986.77"
01/03/2025,"Etsy.com - SponkEditing 01/02 PURCHASE XXX-XX93879 NY","-0.40","8,986.37"
01/03/2025,"Zelle payment to Timothy Price Conf# fvj8rrljv","-312.00","8,674.37"
01/10/2025,"RUTGERS UNIVERSI DES:PAYROLL ID:00185486 INDN:PATEL,SPARSH V CO ID:XXXXX01086 PPD","109.78","8,784.15"
01/13/2025,"CHIPOTLE 1772 01/12 PURCHASE SOUTH PLAINFI NJ","-9.97","8,774.18"
01/13/2025,"MARSHALLS #230 01/12 PURCHASE SO PLAINFIELD NJ","-19.99","8,754.19"
01/15/2025,"MARSHALLS #230 01/14 PURCHASE SO PLAINFIELD NJ","-13.99","8,740.20"
01/16/2025,"MARSHALLS #230 01/14 REFUND SO PLAINFIELD NJ","19.99","8,760.19"
01/21/2025,"EASTON DELI & CONVENIEN 01/17 PURCHASE NEW BRUNSWICK NJ","-5.28","8,754.91"
01/21/2025,"NJT RAIL MY-TIX 01/17 PURCHASE 973-378-6339 NJ","-32.20","8,722.71"
01/21/2025,"TST* SPICY MOON - CHELS 01/17 PURCHASE NEW YORK NY","-107.59","8,615.12"
01/21/2025,"TST* PARIS BAGUETTE - 3 01/17 PURCHASE NEW YORK NY","-7.80","8,607.32"
