Date,Description,Amount,Category
05/23/2025,TARGET T-1929 05/23 PURCHASE South Plainfi NJ,-16.94,"6,391.33"
05/27/2025,EXXON EDISON MART 05/25 PURCHASE EDISON NJ,-10.00,"6,381.33"
05/28/2025,AMAZON PRIME*NN0B35370 05/27 PURCHASE Amzn.com/bill WA,-7.99,"6,373.34"
05/29/2025,7-ELEVEN 35664 05/27 PURCHASE NEW BRUNSWICK NJ,-6.17,"6,367.17"
05/29/2025,MIDDLESEX CC APPLICATIO 05/28 PURCHASE 732-548-6000 NJ,-25.00,"6,342.17"
06/02/2025,NNT SMOKEVANA 05/31 PURCHASE MATAWAN NJ,-15.98,"6,326.19"
06/02/2025,THAI KITCHEN BRIDGEWAT 06/01 PURCHASE BRIDGEWATER NJ,-20.95,"6,305.24"
06/05/2025,SP FAN TREASPRO IMAGE 06/04 PURCHASE XXX-XX103261 NJ,-49.99,"6,255.25"
06/06/2025,KNIGHTS DELI GROCERY 06/06 PURCHASE NEW BRUNSWICK NJ,-5.48,"6,249.77"
06/09/2025,SP FAN TREASPRO IMAGE 06/07 REFUND RUNNEMEDE NJ,49.99,"6,299.76"
06/09/2025,Lids 5054 06/07 PURCHASE Edison NJ,-54.99,"6,244.77"
06/09/2025,DOLLARTREE 06/07 PURCHASE EDISON NJ,-1.25,"6,243.52"
06/10/2025,YESTERCADES III 06/09 PURCHASE WESTFIELD NJ,-21.22,"6,222.30"
06/11/2025,SQ *THE BAKED BEAR 06/09 PURCHASE Westfield NJ,-11.14,"6,211.16"
06/13/2025,"Zelle payment from JASON NGUYEN for ""TexasRoadhouse""; Conf# eb2rh6z68",20.00,"6,231.16"
06/16/2025,TEXAS ROADHOUSE #2496 06/13 PURCHASE NORTH PLAINFI NJ,-96.21,"6,134.95"
06/18/2025,H MART EDISON LLC 06/17 PURCHASE EDISON NJ,-3.98,"6,130.97"
06/23/2025,SEPHORA MENLO PARK 06/20 PURCHASE EDISON NJ,-9.81,"6,121.16"
06/23/2025,DELTA FANWOOD 06/21 PURCHASE FANWOOD NJ,-20.00,"6,101.16"
06/23/2025,7-ELEVEN 38126 06/21 PURCHASE SUMMIT NJ,-6.39,"6,094.77"
06/26/2025,TST*MR. TACOS TAQUERIA 06/24 PURCHASE New Brunswick NJ,-14.20,"6,080.57"
06/30/2025,AMAZON PRIME*NQ2RR5HM1 06/27 PURCHASE Amzn.com/bill WA,-7.99,"6,072.58"
06/30/2025,PERFUME CLUB NJ LLC 06/29 PURCHASE EDISON NJ,-42.64,"6,029.94"
06/30/2025,CHIPOTLE 2864 06/29 PURCHASE MORRIS PLAINS NJ,-10.45,"6,019.49"
07/02/2025,YESTERCADES III 07/01 PURCHASE WESTFIELD NJ,-47.76,"5,971.73"
07/07/2025,EASTON SMOKES 07/05 PURCHASE NEW BRUNSWICK NJ,-11.61,"5,960.12"
07/07/2025,KNIGHTS DELI GROCERY 07/06 PURCHASE NEW BRUNSWICK NJ,-8.78,"5,951.34"
