Date,Description,Amount,Running Bal.,BERT_Category,Subcluster_Label
8/27/24,CVS/PHARMACY # 08/27 PURCHASE SOUTH PLAINFI NJ,-7.24,"8,054.33",Food & Dining,Food & Dining_Sub1
8/28/24,LUKOIL 57335 08/27 PURCHASE S PLAINFIELD NJ,-20.0,"8,034.33",Food & Dining,Food & Dining_Sub3
8/30/24,CHIPOTLE 2475 08/29 PURCHASE BASKING RIDGE NJ,-10.4,"8,023.93",Food & Dining,Food & Dining_Sub3
9/3/24,"LTIMINDTREE LIMI DES:PAYROLL ID:XXXXXXXXXX0935X INDN:PATEL, SPARSH V CO ID:XXXXX19100 PPD",0.0,"9,493.29",Food & Dining,Food & Dining_Sub2
9/3/24,CHIPOTLE 2475 08/30 PURCHASE BASKING RIDGE NJ,-10.4,"9,482.89",Food & Dining,Food & Dining_Sub0
9/3/24,EXXON EDISON MART 08/30 PURCHASE EDISON NJ,-10.0,"9,472.89",Retail,Food & Dining_Sub3
9/3/24,TARGET T-1929 09/01 PURCHASE South Plainfi NJ,-20.26,"9,452.63",Retail,Food & Dining_Sub3
9/3/24,Etsy.com - SponkEditing 09/02 PURCHASE XXX-XX93879 NY,-0.8,"9,451.83",Retail,Food & Dining_Sub1
9/3/24,SNACK* AKIHI BUBBLE TE 09/01 PURCHASE XXX-XX682146 CA,-14.48,"9,437.35",Food & Dining,Food & Dining_Sub3
9/4/24,SQ *POSTER INVASION 09/03 PURCHASE Greenville SC,-26.91,"9,410.44",Retail,Food & Dining_Sub3
9/5/24,CAFE WEST 09/03 PURCHASE NEW BRUNSWICK NJ,-1.39,"9,409.05",Food & Dining,Food & Dining_Sub3
9/5/24,SNACK* AKIHI BUBBLE TE 09/04 PURCHASE XXX-XX682146 CA,-15.98,"9,393.07",Food & Dining,Food & Dining_Sub3
9/6/24,SNACK* AKIHI BUBBLE TE 09/05 PURCHASE XXX-XX682146 CA,-7.8,"9,385.27",Food & Dining,Food & Dining_Sub3
9/9/24,FOREVER21 1991 09/06 PURCHASE EDISON NJ,-14.99,"9,370.28",Retail,Food & Dining_Sub0
9/10/24,CANTEEN VENDING 09/09 PURCHASE AVENEL NJ,-3.0,"9,367.28",Retail,Food & Dining_Sub3
9/12/24,Transfer VENMO,113.97,"9,481.25",Transfers,Food & Dining_Sub1
9/12/24,CG LAUNDRY RUTGERS COLL 09/10 PURCHASE XXX-XX46100 NJ,-10.0,"9,471.25",Retail,Food & Dining_Sub3
9/12/24,R U HUNGRY 09/10 PURCHASE NEW BRUNSWICK NJ,-8.38,"9,462.87",Food & Dining,Food & Dining_Sub3
9/12/24,SNACK* AKIHI BUBBLE TE 09/11 PURCHASE XXX-XX682146 CA,-15.98,"9,446.89",Food & Dining,Food & Dining_Sub3
9/13/24,Transfer VENMO,16.71,"9,463.60",Transfers,Food & Dining_Sub2
9/13/24,WAL Wal-Mart S 09/13 PURCHASE EDISON NJ,-33.99,"9,429.61",Food & Dining,Food & Dining_Sub2
9/16/24,AMAZON MARK* PT1L53V33 09/11 PURCHASE HTTPSAMAZON.C WA,-12.77,"9,416.84",Clothing & Apparel,Food & Dining_Sub3
9/16/24,DOLLAR BRUNSWICK LLC 09/13 PURCHASE NEW BRUNSWICK NJ,-2.14,"9,414.70",Retail,Food & Dining_Sub1
9/16/24,CANTEEN VENDING 09/13 PURCHASE AVENEL NJ,-3.1,"9,411.60",Retail,Food & Dining_Sub3
9/16/24,GOLDEN RAIL PUB 09/13 PURCHASE NEW BRUNSWICK NJ,-11.98,"9,399.62",Bars & Pubs,Food & Dining_Sub3
9/16/24,POPEYES 12202 09/13 PURCHASE NEW BRUNSWICK NJ,-3.19,"9,396.43",Food & Dining,Food & Dining_Sub3
9/16/24,OLDE QUEENS TAVERN 09/13 PURCHASE XXX-XX64006 NJ,-14.2,"9,382.23",Retail,Food & Dining_Sub3
9/16/24,HUEY'S KNIGHT CLUB 09/13 PURCHASE NEW BRUNSWICK NJ,-8.78,"9,373.45",Food & Dining,Food & Dining_Sub3
9/16/24,Zelle payment to Tisha Conf# hr1rghwxf,-25.0,"9,348.45",Retail,Food & Dining_Sub3
9/17/24,"LTIMINDTREE LIMI DES:PAYROLL ID:XXXXXXXXXX0402X INDN:PATEL, SPARSH V CO ID:XXXXX19100 PPD",293.87,"9,642.32",Food & Dining,Food & Dining_Sub3
9/17/24,AMAZON RETA* WK2632933 09/13 PURCHASE WWW.AMAZON.CO WA,-19.71,"9,622.61",Clothing & Apparel,Food & Dining_Sub3
9/17/24,AMAZON MARK* JE5IE6YH3 09/13 PURCHASE HTTPSAMAZON.C WA,-25.58,"9,597.03",Clothing & Apparel,Food & Dining_Sub4
9/19/24,TST*NIRVANIS INDIAN KIT 09/17 PURCHASE New Brunswick NJ,-23.19,"9,573.84",Retail,Food & Dining_Sub3
9/19/24,RUTGERS CINEMA 09/18 PURCHASE PISCATAWAY NJ,-42.0,"9,531.84",Food & Dining,Food & Dining_Sub3
9/23/24,Transfer VENMO,45.11,"9,576.95",Transfers,Food & Dining_Sub3
9/23/24,Transfer VENMO,9.75,"9,586.70",Transfers,Food & Dining_Sub3
9/23/24,ULTA #1523 09/20 PURCHASE SOUTH PLAINFI NJ,-162.07,"9,424.63",Food & Dining,Food & Dining_Sub4
9/23/24,TST*NIRVANIS INDIAN KIT 09/20 PURCHASE New Brunswick NJ,-16.32,"9,408.31",Retail,Food & Dining_Sub3
9/23/24,TST*SCHNUR MEYER SWEETS 09/20 PURCHASE New Brunswick NJ,-15.75,"9,392.56",Retail,Food & Dining_Sub3
9/23/24,BYSIMRAN 0921 09/20 PURCHASE HTTPSBYSIMRAN PA,-59.99,"9,332.57",Retail,Food & Dining_Sub3
9/27/24,SNACK* AKIHI BUBBLE TE 09/26 PURCHASE XXX-XX682146 CA,-6.43,"9,326.14",Food & Dining,Food & Dining_Sub3
9/30/24,Transfer VENMO,12.75,"9,338.89",Transfers,Food & Dining_Sub3
9/30/24,SCARLET PUB 09/26 PURCHASE NEW BRUNSWICK NJ,-11.33,"9,327.56",Bars & Pubs,Food & Dining_Sub3
9/30/24,INSOMNIA COOKIES- NEW 09/27 PURCHASE NEW BRUNSWICK NJ,-3.04,"9,324.52",Food & Dining,Food & Dining_Sub3
9/30/24,TUTA ICE CREAM 09/27 PURCHASE MILLTOWN NJ,-5.53,"9,318.99",Food & Dining,Food & Dining_Sub3
9/30/24,CHIPOTLE 1256 09/29 PURCHASE NEW BRUNSWICK NJ,-10.24,"9,308.75",Food & Dining,Food & Dining_Sub3
10/1/24,WALGREENS #12097 09/30 PURCHASE NEW BRUNSWICK NJ,-1.54,"9,307.21",Retail,Food & Dining_Sub3
10/2/24,INSOMNIA COOKIES- NEW 09/30 PURCHASE NEW BRUNSWICK NJ,-16.26,"9,290.95",Food & Dining,Food & Dining_Sub3
10/3/24,Transfer VENMO,9.75,"9,300.70",Transfers,Food & Dining_Sub3
10/3/24,Homebase 10/03 PMNT RCVD San Francisco CA,0.08,"9,300.78",Retail,Food & Dining_Sub3
10/3/24,WALGREENS #6908 10/02 PURCHASE NEW BRUNSWICK NJ,-20.65,"9,280.13",Food & Dining,Food & Dining_Sub3
10/4/24,Homebase DES:Homebase ID: INDN:Sparsh Patel CO ID:XXXXX96776 WEB,-0.08,"9,280.05",Food & Dining,Food & Dining_Sub3
10/7/24,Zelle payment from SHREY DOBARIYA Conf# T0Y4CW79V,18.0,"9,298.05",Retail,Food & Dining_Sub3
10/7/24,CG LAUNDRY RUTGERS COLL 10/03 PURCHASE XXX-XX46100 NJ,-10.0,"9,288.05",Retail,Food & Dining_Sub2
10/7/24,RUTGERS CINEMA 10/03 PURCHASE PISCATAWAY NJ,-9.75,"9,278.30",Food & Dining,Food & Dining_Sub2
10/7/24,SNACK* AKIHI BUBBLE TE 10/04 PURCHASE XXX-XX682146 CA,-9.24,"9,269.06",Food & Dining,Food & Dining_Sub3
10/7/24,TST* TACORIA- NEW BRUNS 10/05 PURCHASE NEW BRUNSWICK NJ,-36.36,"9,232.70",Food & Dining,Food & Dining_Sub3
10/7/24,INSOMNIA COOKIES- NEW 10/05 PURCHASE NEW BRUNSWICK NJ,-6.08,"9,226.62",Food & Dining,Food & Dining_Sub3
10/7/24,THE ALE N WICH PUB 10/06 PURCHASE NEW BRUNSWICK NJ,-6.23,"9,220.39",Bars & Pubs,Food & Dining_Sub3
10/8/24,CANTEEN VENDING 10/07 PURCHASE AVENEL NJ,-3.1,"9,217.29",Retail,Food & Dining_Sub2
10/9/24,Transfer VENMO,21.62,"9,238.91",Transfers,Food & Dining_Sub2
10/9/24,Transfer VENMO,9.75,"9,248.66",Transfers,Food & Dining_Sub2
10/9/24,OPENAI *CHATGPT SUBSCR 10/08 PURCHASE HTTPSOPENAI.C CA,-20.0,"9,228.66",Retail,Food & Dining_Sub3
10/10/24,TST*NIRVANIS INDIAN KIT 10/09 PURCHASE New Brunswick NJ,-23.46,"9,205.20",Retail,Food & Dining_Sub3
10/15/24,BKOFAMERICA MOBILE 10/12 XXXXX06825 DEPOSIT *MOBILE NJ,70.03,"9,275.23",Retail,Food & Dining_Sub3
10/15/24,OLDE QUEENS TAVERN 10/11 PURCHASE XXX-XX64006 NJ,-4.88,"9,270.35",Retail,Food & Dining_Sub3
10/15/24,VEO* DEPOSIT 10/14 PURCHASE WWW.VEORIDE.C CA,-10.0,"9,260.35",Clothing & Apparel,Food & Dining_Sub3
10/16/24,INSOMNIA COOKIES- NEW 10/14 PURCHASE NEW BRUNSWICK NJ,-8.0,"9,252.35",Food & Dining,Food & Dining_Sub2
10/17/24,HUEY'S KNIGHT CLUB 10/15 PURCHASE NEW BRUNSWICK NJ,-5.16,"9,247.19",Food & Dining,Food & Dining_Sub2
10/17/24,HUEY'S KNIGHT CLUB 10/16 PURCHASE NEW BRUNSWICK NJ,-7.78,"9,239.41",Food & Dining,Food & Dining_Sub3
10/17/24,CANTEEN VENDING 10/16 PURCHASE AVENEL NJ,-3.1,"9,236.31",Retail,Food & Dining_Sub3
10/18/24,"RUTGERS UNIVERSI DES:DIR DEP ID:00185486 INDN:PATEL,SPARSH V CO ID:XXXXX01086 PPD",12.05,"9,248.36",Retail,Food & Dining_Sub3
10/18/24,WALGREENS #6908 10/17 PURCHASE NEW BRUNSWICK NJ,-10.31,"9,238.05",Food & Dining,Food & Dining_Sub3
10/21/24,Transfer VENMO,15.72,"9,253.77",Transfers,Food & Dining_Sub0
10/21/24,SNACK* AKIHI BUBBLE TE 10/18 PURCHASE XXX-XX682146 CA,-16.03,"9,237.74",Food & Dining,Food & Dining_Sub3
10/22/24,PARTY CITY 0579 10/20 PURCHASE SOUTH PLAINE NJ,-54.99,"9,182.75",Food & Dining,Food & Dining_Sub0
10/22/24,AMAZON MKTPL*BL1NF8H83 10/20 PURCHASE Amzn.com/bill WA,-52.99,"9,129.76",Retail,Food & Dining_Sub4
10/24/24,AMAZON MKTPL*A011I5RB3 10/21 PURCHASE Amzn.com/bill WA,-21.31,"9,108.45",Retail,Food & Dining_Sub4
10/24/24,TARGET T-1929 10/24 PURCHASE South Plainfi NJ,-31.52,"9,076.93",Retail,Food & Dining_Sub2
10/25/24,PARTY CITY 0579 10/23 REFUND SOUTH PLAINE NJ,54.99,"9,131.92",Food & Dining,Food & Dining_Sub4
10/28/24,Transfer VENMO,125.27,"9,257.19",Transfers,Food & Dining_Sub0
10/28/24,AMAZON MKTPLACE PMTS 10/27 REFUND Amzn.com/bill WA,21.31,"9,278.50",Retail,Food & Dining_Sub0
10/28/24,PARTY CITY 0579 10/24 PURCHASE SOUTH PLAINE NJ,-3.19,"9,275.31",Food & Dining,Food & Dining_Sub4
10/28/24,EVELYNS RESTAURANT 10/26 PURCHASE NEW BRUNSWICK NJ,-27.61,"9,247.70",Food & Dining,Food & Dining_Sub4
10/28/24,GOLDEN RAIL PUB 10/26 PURCHASE NEW BRUNSWICK NJ,-5.44,"9,242.26",Bars & Pubs,Food & Dining_Sub2
10/28/24,SQ *SPINA RECORDS 10/27 PURCHASE NEW BRUNSWICK NJ,-16.44,"9,225.82",Food & Dining,Food & Dining_Sub4
10/28/24,CANTEEN VENDING 10/27 PURCHASE AVENEL NJ,-3.1,"9,222.72",Retail,Food & Dining_Sub4
10/30/24,Transfer VENMO,29.48,"9,252.20",Transfers,Food & Dining_Sub0
10/31/24,AMAZON MARK* 3N75J9U23 10/29 PURCHASE HTTPSAMAZON.C WA,-34.43,"9,217.77",Clothing & Apparel,Food & Dining_Sub4
10/31/24,INSOMNIA COOKIES- NEW 10/29 PURCHASE NEW BRUNSWICK NJ,-15.19,"9,202.58",Food & Dining,Food & Dining_Sub4
10/31/24,DOLLAR BRUNSWICK LLC 10/30 PURCHASE NEW BRUNSWICK NJ,-10.74,"9,191.84",Retail,Food & Dining_Sub4
11/1/24,"RUTGERS UNIVERSI DES:DIR DEP ID:00185486 INDN:PATEL,SPARSH V CO ID:XXXXX01086 PPD",126.33,"9,318.17",Retail,Food & Dining_Sub4
11/1/24,CG LAUNDRY RUTGERS COLL 10/30 PURCHASE XXX-XX46100 NJ,-10.0,"9,308.17",Retail,Food & Dining_Sub4
11/1/24,PETER'S LIQUORS 10/31 PURCHASE NEW BRUNSWICK NJ,-20.85,"9,287.32",Food & Dining,Food & Dining_Sub4
11/4/24,GOLDEN RAIL PUB 10/31 PURCHASE NEW BRUNSWICK NJ,-18.3,"9,269.02",Bars & Pubs,Food & Dining_Sub4
11/4/24,GOLDEN RAIL PUB 11/01 PURCHASE NEW BRUNSWICK NJ,-11.98,"9,257.04",Bars & Pubs,Food & Dining_Sub4
11/4/24,WHOLEFDS MTC #10602 11/03 PURCHASE METUCHEN NJ,-8.2,"9,248.84",Food & Dining,Food & Dining_Sub3
11/5/24,RU BOOKSTORE 6600 11/04 PURCHASE NEW BRUNSWICK NJ,-31.97,"9,216.87",Food & Dining,Food & Dining_Sub2
11/7/24,TST* 16 HANDLES - RUTGE 11/05 PURCHASE PISCATAWAY NJ,-10.36,"9,206.51",Retail,Food & Dining_Sub2
11/7/24,PETER'S LIQUORS 11/06 PURCHASE NEW BRUNSWICK NJ,-3.02,"9,203.49",Food & Dining,Food & Dining_Sub2
11/8/24,PETER'S LIQUORS 11/07 PURCHASE NEW BRUNSWICK NJ,-22.59,"9,180.90",Food & Dining,Food & Dining_Sub2
11/12/24,OLDE QUEENS TAVERN 11/08 PURCHASE XXX-XX64006 NJ,-22.52,"9,158.38",Retail,Food & Dining_Sub2
11/12/24,OLO*110 honeygrow Rut 11/12 PURCHASE New Brunswick NJ,-14.71,"9,143.67",Food & Dining,Food & Dining_Sub3
11/14/24,CANTEEN VENDING 11/13 PURCHASE AVENEL NJ,-6.1,"9,137.57",Food & Dining,Food & Dining_Sub4
11/15/24,"RUTGERS UNIVERSI DES:DIR DEP ID:00185486 INDN:PATEL,SPARSH V CO ID:XXXXX01086 PPD",229.83,"9,367.40",Retail,Food & Dining_Sub0
11/15/24,BUTLER FOOD STORE 11/14 PURCHASE NEW BRUNSWICK NJ,-3.49,"9,363.91",Food & Dining,Food & Dining_Sub3
11/18/24,7-ELEVEN 35664 11/15 PURCHASE NEW BRUNSWICK NJ,-6.48,"9,357.43",Food & Dining,Food & Dining_Sub2
11/19/24,FOOT LOCKER - 08448 11/17 PURCHASE EDISON NJ,-198.0,"9,159.43",Retail,Food & Dining_Sub2
11/22/24,EASTON DELI & CONVENIEN 11/21 PURCHASE NEW BRUNSWICK NJ,-35.98,"9,123.45",Food & Dining,Food & Dining_Sub2
11/25/24,Transfer VENMO,11.24,"9,134.69",Transfers,Food & Dining_Sub2
11/25/24,Zelle payment from PRANAV KRISHNA VOOTUKURI Conf# jsbfh0riu,11.0,"9,145.69",Food & Dining,Food & Dining_Sub2
11/25/24,CANTEEN VENDING 11/23 PURCHASE AVENEL NJ,-2.1,"9,143.59",Food & Dining,Food & Dining_Sub4
11/25/24,TST* TACORIA- NEW BRUNS 11/23 PURCHASE NEW BRUNSWICK NJ,-47.85,"9,095.74",Food & Dining,Food & Dining_Sub3
11/25/24,WALGREENS #6908 11/24 PURCHASE NEW BRUNSWICK NJ,-13.94,"9,081.80",Food & Dining,Food & Dining_Sub3
11/26/24,TACO BELL 739035 11/24 PURCHASE 713-899-0718 NJ,-13.31,"9,068.49",Food & Dining,Food & Dining_Sub3
11/26/24,7-ELEVEN 36047 11/24 PURCHASE PISCATAWAY NJ,-2.59,"9,065.90",Food & Dining,Food & Dining_Sub4
11/27/24,"RUTGERS UNIVERSI DES:PAYROLL ID:00185486 INDN:PATEL,SPARSH V CO ID:XXXXX01086 PPD",127.1,"9,193.00",Retail,Food & Dining_Sub2
11/27/24,HAAGEN-DAZS 545 11/26 PURCHASE EDISON NJ,-10.86,"9,182.14",Retail,Food & Dining_Sub2
11/29/24,CHICK-FIL-A #01428 11/26 PURCHASE EDISON NJ,-13.12,"9,169.02",Retail,Food & Dining_Sub3
11/29/24,SEPHORA MENLO PARK 11/26 PURCHASE EDISON NJ,-9.81,"9,159.21",Retail,Food & Dining_Sub3
12/2/24,7-ELEVEN 39020 11/28 PURCHASE EDISON NJ,-2.59,"9,156.62",Retail,Food & Dining_Sub3
12/2/24,LinkedInPre *06982404 11/30 PURCHASE XXX-XX35653 CA,-29.99,"9,126.63",Retail,Food & Dining_Sub4
12/2/24,MACYS WOODBRIDGE CTR 11/30 PURCHASE WOODBRIDGE NJ,-81.0,"9,045.63",Food & Dining,Food & Dining_Sub2
12/3/24,"ETSY, INC. DES:PAYOUT ID:etsy INDN:Sparsh Patel CO ID:XXXXX12331 PPD PMT INFO:TRN*1*etsy**4VXODC6561N68APK\RMR*IK*etsy .com\",46.21,"9,091.84",Retail,Food & Dining_Sub3
12/3/24,Transfer VENMO,5.75,"9,097.59",Transfers,Food & Dining_Sub4
12/3/24,Transfer VENMO,4.75,"9,102.34",Transfers,Food & Dining_Sub3
12/3/24,EASTON DELI & CONVENIEN 12/01 PURCHASE NEW BRUNSWICK NJ,-12.83,"9,089.51",Food & Dining,Food & Dining_Sub3
12/3/24,Printify 12/02 PURCHASE Claymont DE,-30.24,"9,059.27",Retail,Food & Dining_Sub3
12/4/24,Zara.com 12/01 PURCHASE New York NY,-34.94,"9,024.33",Clothing & Apparel,Food & Dining_Sub3
12/9/24,CMSVEND*CV AVENEL 12/05 PURCHASE AVENEL NJ,-5.6,"9,018.73",Retail,Food & Dining_Sub3
12/9/24,OLDE QUEENS TAVERN 12/06 PURCHASE XXX-XX64006 NJ,-13.81,"9,004.92",Retail,Food & Dining_Sub3
12/9/24,SCARLET PUB 12/06 PURCHASE NEW BRUNSWICK NJ,-13.73,"8,991.19",Bars & Pubs,Retail_Sub3
12/9/24,WAL-MART #2633 12/09 PURCHASE PISCATAWAY NJ,-10.63,"8,980.56",Retail,Retail_Sub3
12/10/24,Transfer VENMO,8.76,"8,989.32",Transfers,Retail_Sub2
12/10/24,BOX LUNCH #4759 12/09 PURCHASE EDISON NJ,-11.62,"8,977.70",Retail,Retail_Sub2
12/11/24,CANTEEN VENDING 12/10 PURCHASE AVENEL NJ,-6.1,"8,971.60",Retail,Retail_Sub2
12/12/24,WALGREENS #6908 12/11 PURCHASE NEW BRUNSWICK NJ,-8.24,"8,963.36",Food & Dining,Retail_Sub4
12/13/24,"RUTGERS UNIVERSI DES:PAYROLL ID:00185486 INDN:PATEL,SPARSH V CO ID:XXXXX01086 PPD",129.39,"9,092.75",Retail,Retail_Sub4
12/16/24,Transfer VENMO,31.44,"9,124.19",Transfers,Retail_Sub3
12/16/24,Transfer VENMO,7.25,"9,131.44",Transfers,Retail_Sub3
12/16/24,SMASHVILLE HOT CHICKEN 12/13 PURCHASE NEW BRUNSWICK NJ,-13.49,"9,117.95",Food & Dining,Retail_Sub4
12/16/24,CG LAUNDRY RUTGERS COLL 12/14 PURCHASE XXX-XX46100 NJ,-10.0,"9,107.95",Retail,Retail_Sub3
12/16/24,NJT MOBILE 30010003 12/15 PURCHASE XXX-XX86463 NJ,-32.2,"9,075.75",Retail,Retail_Sub2
12/16/24,TARGET STORE T 12/15 PURCHASE New York NY,-16.33,"9,059.42",Retail,Retail_Sub2
12/16/24,HUDSON-DUNKIN ST211 12/15 PURCHASE NEW YORK NY,-7.0,"9,052.42",Retail,Retail_Sub2
12/16/24,MTA*NYCT PAYGO 12/15 PURCHASE NEW YORK NY,-2.9,"9,049.52",Retail,Retail_Sub3
12/17/24,MTA*NYCT PAYGO 12/15 PURCHASE NEW YORK NY,-2.9,"9,046.62",Retail,Retail_Sub0
12/18/24,WALGREENS #6908 12/17 PURCHASE NEW BRUNSWICK NJ,-6.19,"9,040.43",Food & Dining,Retail_Sub2
12/19/24,SMASHVILLE HOT CHICKEN 12/17 PURCHASE NEW BRUNSWICK NJ,-13.49,"9,026.94",Food & Dining,Retail_Sub4
12/20/24,TST* 16 HANDLES - RUTGE 12/18 PURCHASE PISCATAWAY NJ,-12.01,"9,014.93",Retail,Retail_Sub0
12/23/24,Transfer VENMO,9.25,"9,024.18",Transfers,Retail_Sub2
12/23/24,FIVE GUYS NJ 2092 QSR 12/19 PURCHASE NEW BRUNSWICK NJ,-6.93,"9,017.25",Food & Dining,Retail_Sub3
12/23/24,NBPA - PARKMOBILE. 12/21 PURCHASE NEW BRUNSWICK NJ,-2.35,"9,014.90",Food & Dining,Retail_Sub4
12/23/24,TARGET T-1929 12/21 PURCHASE South Plainfi NJ,-16.94,"8,997.96",Retail,Retail_Sub4
12/24/24,"RUTGERS UNIVERSI DES:PAYROLL ID:00185486 INDN:PATEL,SPARSH V CO ID:XXXXX01086 PPD",195.3,"9,193.26",Retail,Retail_Sub4
12/26/24,AG TRAVEL PLAZA 3601101 12/24 PURCHASE WALLKILL NY,-13.37,"9,179.89",Retail,Retail_Sub2
12/27/24,AMAZON MARK* ZE23P6E80 12/23 PURCHASE HTTPSAMAZON.C WA,-21.23,"9,158.66",Retail,Retail_Sub4
12/30/24,TOPS MARKETS #700 12/27 PURCHASE CORINTH NY,-5.89,"9,152.77",Retail,Retail_Sub2
12/30/24,NEW HAIR CULTURE INC 12/29 PURCHASE EDISON NJ,-42.32,"9,110.45",Retail,Retail_Sub3
12/31/24,TARGET T-1929 12/31 PURCHASE South Plainfi NJ,-22.52,"9,087.93",Retail,Retail_Sub2
1/2/25,EXXON AMRIT INC 12/31 PURCHASE NEW BRUNSWICK NJ,-20.0,"9,067.93",Retail,Retail_Sub0
1/2/25,PROSKATENJ.COM 12/31 PURCHASE XXX-XX809679 NJ,-34.0,"9,033.93",Retail,Retail_Sub2
1/2/25,BLAZE PIZZA - 1285 - BR 12/31 PURCHASE 732-356-1357 NJ,-34.76,"8,999.17",Retail,Retail_Sub4
1/3/25,HUEY'S KNIGHT CLUB 12/31 PURCHASE NEW BRUNSWICK NJ,-6.2,"8,992.97",Food & Dining,Retail_Sub2
1/3/25,HUEY'S KNIGHT CLUB 12/31 PURCHASE NEW BRUNSWICK NJ,-6.2,"8,986.77",Food & Dining,Retail_Sub2
1/3/25,Etsy.com - SponkEditing 01/02 PURCHASE XXX-XX93879 NY,-0.4,"8,986.37",Retail,Retail_Sub0
1/3/25,Zelle payment to Timothy Price Conf# fvj8rrljv,-312.0,"8,674.37",Retail,Retail_Sub1
1/10/25,"RUTGERS UNIVERSI DES:PAYROLL ID:00185486 INDN:PATEL,SPARSH V CO ID:XXXXX01086 PPD",109.78,"8,784.15",Retail,Retail_Sub2
1/13/25,CHIPOTLE 1772 01/12 PURCHASE SOUTH PLAINFI NJ,-9.97,"8,774.18",Food & Dining,Retail_Sub2
1/13/25,MARSHALLS #230 01/12 PURCHASE SO PLAINFIELD NJ,-19.99,"8,754.19",Retail,Retail_Sub2
